strain_id,strain_name,strain_description,parents,background,mat,genotype,allele_id,gene_id,freezer,shelf,rack,pullout,insert,row,column,owner,date,publications,tags,strain_notes,warnings,filemaker
rec5273,grx8,a-haploid KanMX disruption of GRX8 (S000004356) in BY background,NA,BY4741,a,NA,S000004356-KanMX,S000004356,,,,,,,,,,,,NA,,
rec5274,ylr365w,a-haploid KanMX disruption of YLR365W (S000004357) in BY background,NA,BY4741,a,NA,S000004357-KanMX,S000004357,,,,,,,,,,,,NA,,
rec5275,ylr366w,a-haploid KanMX disruption of YLR366W (S000004358) in BY background,NA,BY4741,a,NA,S000004358-KanMX,S000004358,,,,,,,,,,,,NA,,
rec5276,rps22b,a-haploid KanMX disruption of RPS22B (S000004359) in BY background,NA,BY4741,a,NA,S000004359-KanMX,S000004359,,,,,,,,,,,,NA,,
rec5277,mdm30,a-haploid KanMX disruption of MDM30 (S000004360) in BY background,NA,BY4741,a,NA,S000004360-KanMX,S000004360,,,,,,,,,,,,NA,,
rec5278,ssq1,a-haploid KanMX disruption of SSQ1 (S000004361) in BY background,NA,BY4741,a,NA,S000004361-KanMX,S000004361,,,,,,,,,,,,"slow growth, petite, slow growth on -lys, no growth on drop-in media",,
rec5280,rom2,a-haploid KanMX disruption of ROM2 (S000004363) in BY background,NA,BY4741,a,NA,S000004363-KanMX,S000004363,,,,,,,,,,,,NA,,
rec5281,elo3,a-haploid KanMX disruption of ELO3 (S000004364) in BY background,NA,BY4741,a,NA,S000004364-KanMX,S000004364,,,,,,,,,,,,NA,,
rec5282,vid22,a-haploid KanMX disruption of VID22 (S000004365) in BY background,NA,BY4741,a,NA,S000004365-KanMX,S000004365,,,,,,,,,,,,NA,,
rec5283,ylr374c,a-haploid KanMX disruption of YLR374C (S000004366) in BY background,NA,BY4741,a,NA,S000004366-KanMX,S000004366,,,,,,,,,,,,NA,,
rec5284,stp3,a-haploid KanMX disruption of STP3 (S000004367) in BY background,NA,BY4741,a,NA,S000004367-KanMX,S000004367,,,,,,,,,,,,NA,,
rec5285,psy3,a-haploid KanMX disruption of PSY3 (S000004368) in BY background,NA,BY4741,a,NA,S000004368-KanMX,S000004368,,,,,,,,,,,,NA,,
rec5286,fbp1,a-haploid KanMX disruption of FBP1 (S000004369) in BY background,NA,BY4741,a,NA,S000004369-KanMX,S000004369,,,,,,,,,,,,NA,,
rec5289,csr1,a-haploid KanMX disruption of CSR1 (S000004372) in BY background,NA,BY4741,a,NA,S000004372-KanMX,S000004372,,,,,,,,,,,,NA,,
rec5290,ctf3,a-haploid KanMX disruption of CTF3 (S000004373) in BY background,NA,BY4741,a,NA,S000004373-KanMX,S000004373,,,,,,,,,,,,NA,,
rec5293,iki3,a-haploid KanMX disruption of IKI3 (S000004376) in BY background,NA,BY4741,a,NA,S000004376-KanMX,S000004376,,,,,,,,,,,,NA,,
rec5294,swc7,a-haploid KanMX disruption of SWC7 (S000004377) in BY background,NA,BY4741,a,NA,S000004377-KanMX,S000004377,,,,,,,,,,,,NA,,
rec5295,vac14,a-haploid KanMX disruption of VAC14 (S000004378) in BY background,NA,BY4741,a,NA,S000004378-KanMX,S000004378,,,,,,,,,,,,NA,,
rec5296,reh1,a-haploid KanMX disruption of REH1 (S000004379) in BY background,NA,BY4741,a,NA,S000004379-KanMX,S000004379,,,,,,,,,,,,NA,,
rec5297,rps29a,a-haploid KanMX disruption of RPS29A (S000004380) in BY background,NA,BY4741,a,NA,S000004380-KanMX,S000004380,,,,,,,,,,,,NA,,
rec5298,ste23,a-haploid KanMX disruption of STE23 (S000004381) in BY background,NA,BY4741,a,NA,S000004381-KanMX,S000004381,,,,,,,,,,,,NA,,
rec5299,ecm19,a-haploid KanMX disruption of ECM19 (S000004382) in BY background,NA,BY4741,a,NA,S000004382-KanMX,S000004382,,,,,,,,,,,,NA,,
rec5300,ccw14,a-haploid KanMX disruption of CCW14 (S000006429) in BY background,NA,BY4741,a,NA,S000006429-KanMX,S000006429,,,,,,,,,,,,NA,,
rec5301,art10,a-haploid KanMX disruption of ART10 (S000004384) in BY background,NA,BY4741,a,NA,S000004384-KanMX,S000004384,,,,,,,,,,,,NA,,
rec5302,atp10,a-haploid KanMX disruption of ATP10 (S000004385) in BY background,NA,BY4741,a,NA,S000004385-KanMX,S000004385,,,,,,,,,,,,NA,,
rec5304,cox8,a-haploid KanMX disruption of COX8 (S000004387) in BY background,NA,BY4741,a,NA,S000004387-KanMX,S000004387,,,,,,,,,,,,NA,,
rec5305,vps33,a-haploid KanMX disruption of VPS33 (S000004388) in BY background,NA,BY4741,a,NA,S000004388-KanMX,S000004388,,,,,,,,,,,,petite,,
rec5307,ski2,a-haploid KanMX disruption of SKI2 (S000004390) in BY background,NA,BY4741,a,NA,S000004390-KanMX,S000004390,,,,,,,,,,,,NA,,
rec5308,bdf1,a-haploid KanMX disruption of BDF1 (S000004391) in BY background,NA,BY4741,a,NA,S000004391-KanMX,S000004391,,,,,,,,,,,,NA,,
rec5309,ylr400w,a-haploid KanMX disruption of YLR400W (S000004392) in BY background,NA,BY4741,a,NA,S000004392-KanMX,S000004392,,,,,,,,,,,,NA,,
rec5310,dus3,a-haploid KanMX disruption of DUS3 (S000004393) in BY background,NA,BY4741,a,NA,S000004393-KanMX,S000004393,,,,,,,,,,,,NA,,
rec5311,ylr402w,a-haploid KanMX disruption of YLR402W (S000004394) in BY background,NA,BY4741,a,NA,S000004394-KanMX,S000004394,,,,,,,,,,,,NA,,
rec5312,sfp1,a-haploid KanMX disruption of SFP1 (S000004395) in BY background,NA,BY4741,a,NA,S000004395-KanMX,S000004395,,,,,,,,,,,,slow growth,,
rec5313,fld1,a-haploid KanMX disruption of FLD1 (S000004396) in BY background,NA,BY4741,a,NA,S000004396-KanMX,S000004396,,,,,,,,,,,,NA,,
rec5314,dus4,a-haploid KanMX disruption of DUS4 (S000004397) in BY background,NA,BY4741,a,NA,S000004397-KanMX,S000004397,,,,,,,,,,,,NA,,
rec5316,ylr407w,a-haploid KanMX disruption of YLR407W (S000004399) in BY background,NA,BY4741,a,NA,S000004399-KanMX,S000004399,,,,,,,,,,,,NA,,
rec5317,bls1,a-haploid KanMX disruption of BLS1 (S000004400) in BY background,NA,BY4741,a,NA,S000004400-KanMX,S000004400,,,,,,,,,,,,NA,,
rec5319,vip1,a-haploid KanMX disruption of VIP1 (S000004402) in BY background,NA,BY4741,a,NA,S000004402-KanMX,S000004402,,,,,,,,,,,,NA,,
rec5320,ber1,a-haploid KanMX disruption of BER1 (S000004404) in BY background,NA,BY4741,a,NA,S000004404-KanMX,S000004404,,,,,,,,,,,,NA,,
rec5321,ina1,a-haploid KanMX disruption of INA1 (S000004405) in BY background,NA,BY4741,a,NA,S000004405-KanMX,S000004405,-80C #2,8,4,3,4,5,2,Alice Serafin,2018-06-05,,,PCR successful with KanMX-int5'-R (511) + PF (1473) and KanMX-int3'-F (512) + PR (1474),,TRUE
rec5322,pun1,a-haploid KanMX disruption of PUN1 (S000004406) in BY background,NA,BY4741,a,NA,S000004406-KanMX,S000004406,,,,,,,,,,,,NA,,
rec5323,ylr415c,a-haploid KanMX disruption of YLR415C (S000004407) in BY background,NA,BY4741,a,NA,S000004407-KanMX,S000004407,,,,,,,,,,,,NA,,
rec5324,ylr416c,a-haploid KanMX disruption of YLR416C (S000004408) in BY background,NA,BY4741,a,NA,S000004408-KanMX,S000004408,,,,,,,,,,,,NA,,
rec5325,vps36,a-haploid KanMX disruption of VPS36 (S000004409) in BY background,NA,BY4741,a,NA,S000004409-KanMX,S000004409,,,,,,,,,,,,NA,,
rec5326,cdc73,a-haploid KanMX disruption of CDC73 (S000004410) in BY background,NA,BY4741,a,NA,S000004410-KanMX,S000004410,,,,,,,,,,,,NA,,
rec5328,rpn13,a-haploid KanMX disruption of RPN13 (S000004413) in BY background,NA,BY4741,a,NA,S000004413-KanMX,S000004413,,,,,,,,,,,,NA,,
rec5329,dom34,a-haploid KanMX disruption of DOM34 (S000004946) in BY background,NA,BY4741,a,NA,S000004946-KanMX,S000004946,,,,,,,,,,,,NA,,
rec5331,pet8,a-haploid KanMX disruption of PET8 (S000004948) in BY background,NA,BY4741,a,NA,S000004948-KanMX,S000004948,,,,,,,,,,,,Incorrect,,
rec5332,hrb1,a-haploid KanMX disruption of HRB1 (S000004949) in BY background,NA,BY4741,a,NA,S000004949-KanMX,S000004949,,,,,,,,,,,,NA,,
rec5333,mrp7,a-haploid KanMX disruption of MRP7 (S000004950) in BY background,NA,BY4741,a,NA,S000004950-KanMX,S000004950,,,,,,,,,,,,"slow growth, petite",,
rec5336,asi3,a-haploid KanMX disruption of ASI3 (S000004953) in BY background,NA,BY4741,a,NA,S000004953-KanMX,S000004953,,,,,,,,,,,,NA,,
rec5337,idp3,a-haploid KanMX disruption of IDP3 (S000004954) in BY background,NA,BY4741,a,NA,S000004954-KanMX,S000004954,,,,,,,,,,,,NA,,
rec5338,ynl010w,a-haploid KanMX disruption of YNL010W (S000004955) in BY background,NA,BY4741,a,NA,S000004955-KanMX,S000004955,,,,,,,,,,,,NA,,
rec5340,spo1,a-haploid KanMX disruption of SPO1 (S000004957) in BY background,NA,BY4741,a,NA,S000004957-KanMX,S000004957,,,,,,,,,,,,NA,,
rec5341,ynl013c,a-haploid KanMX disruption of YNL013C (S000004958) in BY background,NA,BY4741,a,NA,S000004958-KanMX,S000004958,,,,,,,,,,,,NA,,
rec5343,pbi2,a-haploid KanMX disruption of PBI2 (S000004960) in BY background,NA,BY4741,a,NA,S000004960-KanMX,S000004960,,,,,,,,,,,,NA,,
rec5344,pub1,a-haploid KanMX disruption of PUB1 (S000004961) in BY background,NA,BY4741,a,NA,S000004961-KanMX,S000004961,,,,,,,,,,,,NA,,
rec5346,ark1,a-haploid KanMX disruption of ARK1 (S000004965) in BY background,NA,BY4741,a,NA,S000004965-KanMX,S000004965,,,,,,,,,,,,NA,,
rec5347,hda1,a-haploid KanMX disruption of HDA1 (S000004966) in BY background,NA,BY4741,a,NA,S000004966-KanMX,S000004966,,,,,,,,,,,,NA,,
rec5348,rcm1,a-haploid KanMX disruption of RCM1 (S000004967) in BY background,NA,BY4741,a,NA,S000004967-KanMX,S000004967,,,,,,,,,,,,NA,,
rec5349,fap1,a-haploid KanMX disruption of FAP1 (S000004968) in BY background,NA,BY4741,a,NA,S000004968-KanMX,S000004968,,,,,,,,,,,,NA,,
rec5350,ynl024c,a-haploid KanMX disruption of YNL024C (S000004969) in BY background,NA,BY4741,a,NA,S000004969-KanMX,S000004969,,,,,,,,,,,,NA,,
rec5351,ssn8,a-haploid KanMX disruption of SSN8 (S000004970) in BY background,NA,BY4741,a,NA,S000004970-KanMX,S000004970,,,,,,,,,,,,NA,,
rec5353,crz1,a-haploid KanMX disruption of CRZ1 (S000004972) in BY background,NA,BY4741,a,NA,S000004972-KanMX,S000004972,,,,,,,,,,,,NA,,
rec5354,ynl028w,a-haploid KanMX disruption of YNL028W (S000004973) in BY background,NA,BY4741,a,NA,S000004973-KanMX,S000004973,,,,,,,,,,,,NA,,
rec5355,ktr5,a-haploid KanMX disruption of KTR5 (S000004974) in BY background,NA,BY4741,a,NA,S000004974-KanMX,S000004974,,,,,,,,,,,,NA,,
rec5356,hhf2,a-haploid KanMX disruption of HHF2 (S000004975) in BY background,NA,BY4741,a,NA,S000004975-KanMX,S000004975,,,,,,,,,,,,NA,,
rec5357,hht2,a-haploid KanMX disruption of HHT2 (S000004976) in BY background,NA,BY4741,a,NA,S000004976-KanMX,S000004976,,,,,,,,,,,,NA,,
rec5358,siw14,a-haploid KanMX disruption of SIW14 (S000004977) in BY background,NA,BY4741,a,NA,S000004977-KanMX,S000004977,,,,,,,,,,,,NA,,
rec5359,ynl034w,a-haploid KanMX disruption of YNL034W (S000004979) in BY background,NA,BY4741,a,NA,S000004979-KanMX,S000004979,,,,,,,,,,,,NA,,
rec5360,ynl035c,a-haploid KanMX disruption of YNL035C (S000004980) in BY background,NA,BY4741,a,NA,S000004980-KanMX,S000004980,,,,,,,,,,,,NA,,
rec5362,idh1,a-haploid KanMX disruption of IDH1 (S000004982) in BY background,NA,BY4741,a,NA,S000004982-KanMX,S000004982,,,,,,,,,,,,NA,,
rec5365,ynl040w,a-haploid KanMX disruption of YNL040W (S000004985) in BY background,NA,BY4741,a,NA,S000004985-KanMX,S000004985,,,,,,,,,,,,NA,,
rec5366,cog6,a-haploid KanMX disruption of COG6 (S000004986) in BY background,NA,BY4741,a,NA,S000004986-KanMX,S000004986,,,,,,,,,,,,NA,,
rec5367,bop3,a-haploid KanMX disruption of BOP3 (S000004987) in BY background,NA,NA,a,NA,S000004987-KanMX,S000004987,,,,,,,,,,,,NA,,
rec5368,ynl043c,a-haploid KanMX disruption of YNL043C (S000004988) in BY background,NA,BY4741,a,NA,S000004988-KanMX,S000004988,,,,,,,,,,,,NA,,
rec5369,yip3,a-haploid KanMX disruption of YIP3 (S000004989) in BY background,NA,BY4741,a,NA,S000004989-KanMX,S000004989,,,,,,,,,,,,NA,,
rec5370,lap2,a-haploid KanMX disruption of LAP2 (S000004990) in BY background,NA,BY4741,a,NA,S000004990-KanMX,S000004990,,,,,,,,,,,,NA,,
rec5371,ynl046w,a-haploid KanMX disruption of YNL046W (S000004991) in BY background,NA,BY4741,a,NA,S000004991-KanMX,S000004991,,,,,,,,,,,,NA,,
rec5374,sfb2,a-haploid KanMX disruption of SFB2 (S000004994) in BY background,NA,BY4741,a,NA,S000004994-KanMX,S000004994,,,,,,,,,,,,NA,,
rec5375,ynl050c,a-haploid KanMX disruption of YNL050C (S000004995) in BY background,NA,BY4741,a,NA,S000004995-KanMX,S000004995,,,,,,,,,,,,NA,,
rec5376,cit1,a-haploid KanMX disruption of CIT1 (S000005284) in BY background,NA,BY4741,a,NA,S000005284-KanMX,S000005284,,,,,,,,,,,,NA,,
rec5377,ato2,a-haploid KanMX disruption of ATO2 (S000005285) in BY background,NA,BY4741,a,NA,S000005285-KanMX,S000005285,,,,,,,,,,,,NA,,
rec5379,swm2,a-haploid KanMX disruption of SWM2 (S000005287) in BY background,NA,BY4741,a,NA,S000005287-KanMX,S000005287,,,,,,,,,,,,NA,,
rec5380,ynr005c,a-haploid KanMX disruption of YNR005C (S000005288) in BY background,NA,BY4741,a,NA,S000005288-KanMX,S000005288,,,,,,,,,,,,NA,,
rec5381,vps27,a-haploid KanMX disruption of VPS27 (S000005289) in BY background,NA,BY4741,a,NA,S000005289-KanMX,S000005289,,,,,,,,,,,,NA,,
rec5382,atg3,a-haploid KanMX disruption of ATG3 (S000005290) in BY background,NA,BY4741,a,NA,S000005290-KanMX,S000005290,,,,,,,,,,,,NA,,
rec5383,lro1,a-haploid KanMX disruption of LRO1 (S000005291) in BY background,NA,BY4741,a,NA,S000005291-KanMX,S000005291,,,,,,,,,,,,NA,,
rec5384,nrm1,a-haploid KanMX disruption of NRM1 (S000005292) in BY background,NA,BY4741,a,NA,S000005292-KanMX,S000005292,,,,,,,,,,,,NA,,
rec5385,cse2,a-haploid KanMX disruption of CSE2 (S000005293) in BY background,NA,BY4741,a,NA,S000005293-KanMX,S000005293,,,,,,,,,,,,NA,,
rec5387,urk1,a-haploid KanMX disruption of URK1 (S000005295) in BY background,NA,BY4741,a,NA,S000005295-KanMX,S000005295,,,,,,,,,,,,NA,,
rec5388,pho91,a-haploid KanMX disruption of PHO91 (S000005296) in BY background,NA,BY4741,a,NA,S000005296-KanMX,S000005296,,,,,,,,,,,,NA,,
rec5389,ynr014w,a-haploid KanMX disruption of YNR014W (S000005297) in BY background,NA,BY4741,a,NA,S000005297-KanMX,S000005297,,,,,,,,,,,,NA,,
rec5390,smm1,a-haploid KanMX disruption of SMM1 (S000005298) in BY background,NA,BY4741,a,NA,S000005298-KanMX,S000005298,,,,,,,,,,,,NA,,
rec5393,rcf2,a-haploid KanMX disruption of RCF2 (S000005301) in BY background,NA,BY4741,a,NA,S000005301-KanMX,S000005301,,,,,,,,,,,,NA,,
rec5394,are2,a-haploid KanMX disruption of ARE2 (S000005302) in BY background,NA,BY4741,a,NA,S000005302-KanMX,S000005302,,,,,,,,,,,,NA,,
rec5395,atp23,a-haploid KanMX disruption of ATP23 (S000005303) in BY background,NA,BY4741,a,NA,S000005303-KanMX,S000005303,,,,,,,,,,,,NA,,
rec5396,ynr021w,a-haploid KanMX disruption of YNR021W (S000005304) in BY background,NA,BY4741,a,NA,S000005304-KanMX,S000005304,,,,,,,,,,,,NA,,
rec5397,mrpl50,a-haploid KanMX disruption of MRPL50 (S000005305) in BY background,NA,BY4741,a,NA,S000005305-KanMX,S000005305,,,,,,,,,,,,NA,,
rec5398,snf12,a-haploid KanMX disruption of SNF12 (S000005306) in BY background,NA,NA,a,NA,S000005306-KanMX,S000005306,,,,,,,,,,,,NA,,
rec5399,mpp6,a-haploid KanMX disruption of MPP6 (S000005307) in BY background,NA,BY4741,a,NA,S000005307-KanMX,S000005307,,,,,,,,,,,,NA,,
rec5400,ynr025c,a-haploid KanMX disruption of YNR025C (S000005308) in BY background,NA,BY4741,a,NA,S000005308-KanMX,S000005308,,,,,,,,,,,,NA,,
rec5402,bud17,a-haploid KanMX disruption of BUD17 (S000005310) in BY background,NA,BY4741,a,NA,S000005310-KanMX,S000005310,,,,,,,,,,,,NA,,
rec5403,cpr8,a-haploid KanMX disruption of CPR8 (S000005311) in BY background,NA,BY4741,a,NA,S000005311-KanMX,S000005311,,,,,,,,,,,,NA,,
rec5404,ynr029c,a-haploid KanMX disruption of YNR029C (S000005312) in BY background,NA,BY4741,a,NA,S000005312-KanMX,S000005312,,,,,,,,,,,,NA,,
rec5405,alg12,a-haploid KanMX disruption of ALG12 (S000005313) in BY background,NA,BY4741,a,NA,S000005313-KanMX,S000005313,,,,,,,,,,,,NA,,
rec5406,ssk2,a-haploid KanMX disruption of SSK2 (S000005314) in BY background,NA,BY4741,a,NA,S000005314-KanMX,S000005314,,,,,,,,,,,,NA,,
rec5407,ppg1,a-haploid KanMX disruption of PPG1 (S000005315) in BY background,NA,BY4741,a,NA,S000005315-KanMX,S000005315,,,,,,,,,,,,NA,,
rec5409,sol1,a-haploid KanMX disruption of SOL1 (S000005317) in BY background,NA,BY4741,a,NA,S000005317-KanMX,S000005317,,,,,,,,,,,,NA,,
rec5411,mrps12,a-haploid KanMX disruption of MRPS12 (S000005319) in BY background,NA,BY4741,a,NA,S000005319-KanMX,S000005319,,,,,,,,,,,,"slow growth, petite",,
rec5412,rsm19,a-haploid KanMX disruption of RSM19 (S000005320) in BY background,NA,BY4741,a,NA,S000005320-KanMX,S000005320,,,,,,,,,,,,"slow growth, petite",,
rec5414,zrg17,a-haploid KanMX disruption of ZRG17 (S000005322) in BY background,NA,BY4741,a,NA,S000005322-KanMX,S000005322,,,,,,,,,,,,NA,,
rec5415,ynr040w,a-haploid KanMX disruption of YNR040W (S000005323) in BY background,NA,BY4741,a,NA,S000005323-KanMX,S000005323,,,,,,,,,,,,NA,,
rec5416,coq2,a-haploid KanMX disruption of COQ2 (S000005324) in BY background,NA,BY4741,a,NA,S000005324-KanMX,S000005324,,,,,,,,,,,,"slow growth, petite",,
rec5417,ynr042w,a-haploid KanMX disruption of YNR042W (S000005325) in BY background,NA,BY4741,a,NA,S000005325-KanMX,S000005325,,,,,,,,,,,,NA,,
rec5419,aga1,a-haploid KanMX disruption of AGA1 (S000005327) in BY background,NA,NA,a,NA,S000005327-KanMX,S000005327,,,,,,,,,,,,NA,,
rec5420,pet494,a-haploid KanMX disruption of PET494 (S000005328) in BY background,NA,BY4741,a,NA,S000005328-KanMX,S000005328,,,,,,,,,,,,NA,,
rec5422,fpk1,a-haploid KanMX disruption of FPK1 (S000005330) in BY background,NA,BY4741,a,NA,S000005330-KanMX,S000005330,,,,,,,,,,,,NA,,
rec5423,ynr048w,a-haploid KanMX disruption of YNR048W (S000005331) in BY background,NA,BY4741,a,NA,S000005331-KanMX,S000005331,,,,,,,,,,,,NA,,
rec5424,mso1,a-haploid KanMX disruption of MSO1 (S000005332) in BY background,NA,BY4741,a,NA,S000005332-KanMX,S000005332,,,,,,,,,,,,NA,,
rec5425,icl2,a-haploid KanMX disruption of ICL2 (S000006210) in BY background,NA,BY4741,a,NA,S000006210-KanMX,S000006210,,,,,,,,,,,,NA,,
rec5428,sut2,a-haploid KanMX disruption of SUT2 (S000006213) in BY background,NA,BY4741,a,NA,S000006213-KanMX,S000006213,,,,,,,,,,,,NA,,
rec5431,ypr012w,a-haploid KanMX disruption of YPR012W (S000006216) in BY background,NA,BY4741,a,NA,S000006216-KanMX,S000006216,,,,,,,,,,,,NA,,
rec5433,ypr014c,a-haploid KanMX disruption of YPR014C (S000006218) in BY background,NA,BY4741,a,NA,S000006218-KanMX,S000006218,,,,,,,,,,,,NA,,
rec5434,ypr015c,a-haploid KanMX disruption of YPR015C (S000006219) in BY background,NA,BY4741,a,NA,S000006219-KanMX,S000006219,,,,,,,,,,,,NA,,
rec5436,dss4,a-haploid KanMX disruption of DSS4 (S000006221) in BY background,NA,BY4741,a,NA,S000006221-KanMX,S000006221,,,,,,,,,,,,NA,,
rec5437,rlf2,a-haploid KanMX disruption of RLF2 (S000006222) in BY background,NA,BY4741,a,NA,S000006222-KanMX,S000006222,,,,,,,,,,,,NA,,
rec5439,atp20,a-haploid KanMX disruption of ATP20 (S000006224) in BY background,NA,BY4741,a,NA,S000006224-KanMX,S000006224,,,,,,,,,,,,NA,,
rec5446,ypr027c,a-haploid KanMX disruption of YPR027C (S000006231) in BY background,NA,BY4741,a,NA,S000006231-KanMX,S000006231,,,,,,,,,,,,NA,,
rec5447,yop1,a-haploid KanMX disruption of YOP1 (S000006232) in BY background,NA,BY4741,a,NA,S000006232-KanMX,S000006232,,,,,,,,,,,,NA,,
rec5448,apl4,a-haploid KanMX disruption of APL4 (S000006233) in BY background,NA,BY4741,a,NA,S000006233-KanMX,S000006233,,,,,,,,,,,,NA,,
rec5449,csr2,a-haploid KanMX disruption of CSR2 (S000006234) in BY background,NA,BY4741,a,NA,S000006234-KanMX,S000006234,,,,,,,,,,,,NA,,
rec5451,sro7,a-haploid KanMX disruption of SRO7 (S000006236) in BY background,NA,BY4741,a,NA,S000006236-KanMX,S000006236,,,,,,,,,,,,NA,,
rec5455,vma13,a-haploid KanMX disruption of VMA13 (S000006240) in BY background,NA,BY4741,a,NA,S000006240-KanMX,S000006240,,,,,,,,,,,,"slow growth, petite",,
rec5457,irc16,a-haploid KanMX disruption of IRC16 (S000006242) in BY background,NA,BY4741,a,NA,S000006242-KanMX,S000006242,,,,,,,,,,,,NA,,
rec5458,ypr039w,a-haploid KanMX disruption of YPR039W (S000006243) in BY background,NA,BY4741,a,NA,S000006243-KanMX,S000006243,,,,,,,,,,,,NA,,
rec5459,tip41,a-haploid KanMX disruption of TIP41 (S000006244) in BY background,NA,BY4741,a,NA,S000006244-KanMX,S000006244,,,,,,,,,,,,NA,,
rec5461,puf2,a-haploid KanMX disruption of PUF2 (S000006246) in BY background,NA,BY4741,a,NA,S000006246-KanMX,S000006246,,,,,,,,,,,,NA,,
rec5463,opi11,a-haploid KanMX disruption of OPI11 (S000006248) in BY background,NA,BY4741,a,NA,S000006248-KanMX,S000006248,,,,,,,,,,,,NA,,
rec5464,thp3,a-haploid KanMX disruption of THP3 (S000006249) in BY background,NA,BY4741,a,NA,S000006249-KanMX,S000006249,,,,,,,,,,,,NA,,
rec5465,mcm16,a-haploid KanMX disruption of MCM16 (S000006250) in BY background,NA,BY4741,a,NA,S000006250-KanMX,S000006250,,,,,,,,,,,,NA,,
rec5466,msf1,a-haploid KanMX disruption of MSF1 (S000006251) in BY background,NA,BY4741,a,NA,S000006251-KanMX,S000006251,,,,,,,,,,,,"slow growth, petite",,
rec5468,atg11,a-haploid KanMX disruption of ATG11 (S000006253) in BY background,NA,BY4741,a,NA,S000006253-KanMX,S000006253,,,,,,,,,,,,NA,,
rec5470,mak3,a-haploid KanMX disruption of MAK3 (S000006255) in BY background,NA,BY4741,a,NA,S000006255-KanMX,S000006255,,,,,,,,,,,,NA,,
rec5471,nhp6a,a-haploid KanMX disruption of NHP6A (S000006256) in BY background,NA,BY4741,a,NA,S000006256-KanMX,S000006256,,,,,,,,,,,,NA,,
rec5472,ypr053c,a-haploid KanMX disruption of YPR053C (S000006257) in BY background,NA,BY4741,a,NA,S000006257-KanMX,S000006257,,,,,,,,,,,,NA,,
rec5473,smk1,a-haploid KanMX disruption of SMK1 (S000006258) in BY background,NA,BY4741,a,NA,S000006258-KanMX,S000006258,,,,,,,,,,,,NA,,
rec5476,brr1,a-haploid KanMX disruption of BRR1 (S000006261) in BY background,NA,BY4741,a,NA,S000006261-KanMX,S000006261,,,,,,,,,,,,NA,,
rec5477,ymc1,a-haploid KanMX disruption of YMC1 (S000006262) in BY background,NA,BY4741,a,NA,S000006262-KanMX,S000006262,,,,,,,,,,,,NA,,
rec5478,ypr059c,a-haploid KanMX disruption of YPR059C (S000006263) in BY background,NA,BY4741,a,NA,S000006263-KanMX,S000006263,,,,,,,,,,,,NA,,
rec5479,aro7,a-haploid KanMX disruption of ARO7 (S000006264) in BY background,NA,BY4741,a,NA,S000006264-KanMX,S000006264,,,,,,,,,,,,NA,,
rec5480,jid1,a-haploid KanMX disruption of JID1 (S000006265) in BY background,NA,BY4741,a,NA,S000006265-KanMX,S000006265,,,,,,,,,,,,NA,,
rec5481,fcy1,a-haploid KanMX disruption of FCY1 (S000006266) in BY background,NA,BY4741,a,NA,S000006266-KanMX,S000006266,,,,,,,,,,,,NA,,
rec5482,ypr063c,a-haploid KanMX disruption of YPR063C (S000006267) in BY background,NA,BY4741,a,NA,S000006267-KanMX,S000006267,,,,,,,,,,,,NA,,
rec5484,rox1,a-haploid KanMX disruption of ROX1 (S000006269) in BY background,NA,BY4741,a,NA,S000006269-KanMX,S000006269,,,,,,,,,,,,NA,,
rec5485,uba3,a-haploid KanMX disruption of UBA3 (S000006270) in BY background,NA,BY4741,a,NA,S000006270-KanMX,S000006270,,,,,,,,,,,,red colony on YPD: ade mutant?,,
rec5487,hos1,a-haploid KanMX disruption of HOS1 (S000006272) in BY background,NA,BY4741,a,NA,S000006272-KanMX,S000006272,,,,,,,,,,,,NA,,
rec5488,spe3,a-haploid KanMX disruption of SPE3 (S000006273) in BY background,NA,BY4741,a,NA,S000006273-KanMX,S000006273,,,,,,,,,,,,NA,,
rec5489,med1,a-haploid KanMX disruption of MED1 (S000006274) in BY background,NA,BY4741,a,NA,S000006274-KanMX,S000006274,,,,,,,,,,,,NA,,
rec5490,ypr071w,a-haploid KanMX disruption of YPR071W (S000006275) in BY background,NA,BY4741,a,NA,S000006275-KanMX,S000006275,,,,,,,,,,,,NA,,
rec5491,not5,a-haploid KanMX disruption of NOT5 (S000006276) in BY background,NA,BY4741,a,NA,S000006276-KanMX,S000006276,,,,,,,,,,,,"slow growth, petite",,
rec5492,ltp1,a-haploid KanMX disruption of LTP1 (S000006277) in BY background,NA,BY4741,a,NA,S000006277-KanMX,S000006277,,,,,,,,,,,,NA,,
rec5493,tkl1,a-haploid KanMX disruption of TKL1 (S000006278) in BY background,NA,BY4741,a,NA,S000006278-KanMX,S000006278,,,,,,,,,,,,NA,,
rec5494,opy2,a-haploid KanMX disruption of OPY2 (S000006279) in BY background,NA,BY4741,a,NA,S000006279-KanMX,S000006279,,,,,,,,,,,,NA,,
rec5495,ypr076w,a-haploid KanMX disruption of YPR076W (S000006280) in BY background,NA,BY4741,a,NA,S000006280-KanMX,S000006280,,,,,,,,,,,,NA,,
rec5496,ypr077c,a-haploid KanMX disruption of YPR077C (S000006281) in BY background,NA,BY4741,a,NA,S000006281-KanMX,S000006281,,,,,,,,,,,,NA,,
